企业处理劳动纠纷不当，造成群体性事件	群体事件
企业生产的食品有致癌或致死事件	致癌 致死
企业生产的食品或其他产品中重金属超标	重金属
企业生产的食品或原料腐败变质	腐败变质
企业生产的食品或药品中有违禁成分、有害成分	违禁成分 有害成分
企业违规使用食品添加剂或超标	违规使用 超标
企业生产的药品有副作用	副作用
企业生产的药品有致残事件	致残
企业生产的食品或药品有中毒事件	中毒 有毒
企业生产的食品或药品过期	过期
企业生产的食品或药品有掺假	掺假
企业法人代表因刑事犯罪被判刑	判刑
企业董事长因刑事犯罪被判刑	判刑
企业总经理因刑事犯罪被判刑	判刑
企业股东因刑事犯罪被判刑	判刑
企业法人代表被刑事拘留	刑事拘留
企业董事长被刑事拘留	刑事拘留
企业总经理被刑事拘留	刑事拘留
企业股东被刑事拘留	刑事拘留
企业法人代表因涉赌被判刑	判刑
企业董事长因涉赌被判刑	判刑
企业总经理因涉赌被判刑	判刑
企业股东因涉赌被判刑	判刑
企业法人代表因涉毒被判刑	判刑
企业董事长因涉毒被判刑	判刑
企业总经理因涉毒被判刑	判刑
企业股东因涉毒被判刑	判刑
企业法人代表犯法	逮捕 取保候审 抓获 涉嫌 嫌疑人 涉案
企业董事长因犯法	逮捕 取保候审 抓获 涉嫌 嫌疑人 涉案
企业总经理因犯法	逮捕 取保候审 抓获 涉嫌 嫌疑人 涉案
企业股东因犯法	逮捕 取保候审 抓获 涉嫌 嫌疑人 涉案
企业法人代表犯法	拘留
企业董事长因犯法	拘留
企业总经理因犯法	拘留
企业股东因犯法	拘留
企业法人代表失联	失联 跑路 失踪 故意回避
企业董事长失联	失联 跑路 失踪 故意回避
企业总经理失联	失联 跑路 失踪 故意回避
企业股东失联	失联 跑路 失踪 故意回避
企业财务出现重大问题	巨亏 财务危机 无力支付 无法兑付 兑付危机 冻结资金
企业财务出现严重问题	亏损 财务恶化 拖欠 逾期 兑付紧张
企业诈骗	洗钱 伪造 涉诉 被立案 非法吸收
企业欺骗	骗钱 欺骗 做假 诱骗 蒙骗 骗局
上市企业出现重大问题	崩盘 停牌 暴跌
上市企业出现严重问题	大跌 跌破 跌幅 重组
企业无法经营	倒闭 破产 关闭
企业经营不稳定	被收购 重组 召回
企业有重大违规行为	停业 停产整改
企业有严重违规行为	责令 限期整改 被罚款 违法排污 超标排放 有大气污染物 无废物识别 废物混放
企业有一般违规行为	点名批评 违规经营 不合格 不符合 未按要求 未按标准
企业发生特大事故	爆炸 烧毁 毒气泄漏坍塌 造成重大人员伤亡
企业发生严重事故	气体 液体泄漏 倒塌 起火 塌方 造成多个人员伤亡 责任事故
企业获得A轮融资	A轮融资
企业获得B轮融资	B轮融资
企业获得C轮融资	C轮融资
企业获得D轮融资	D轮融资
企业上市	上市
